district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.074047,90.672002,135.3,9.6,4.15,Laterite outcrop,High Settlement,114.2,132.5,261.4,7.5,8166,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.33504,95.814424,231.5,7.98,5.49,Sandy clay red loam,Tea Estate,120.0,223.1,278.5,14.52,16870,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.21926,91.045045,48.6,0.72,14.37,Clayey hydromorphic loam,Char Land,171.8,371.0,515.2,0.29,218,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.1321,91.86433,250.4,16.07,6.05,Red gravelly loam,Rocky Outcrop / Hill Scrub,82.7,226.4,222.2,7.61,9611,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.43593,92.855394,417.9,22.69,5.89,Red and yellow forest soil,Settlement on Ridge,107.3,203.2,269.6,24.22,21455,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.80843,94.373697,133.9,2.13,8.12,Deep red acidic loam,Commercial Tea Plantation,107.2,158.8,275.9,11.8,14712,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.19103,90.693948,156.0,15.33,6.34,Gravelly red loam,Mixed Scrub and Rocky Outcrop,56.4,214.6,192.8,16.05,12721,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,26.989259,94.292117,91.0,0.93,11.86,Riverine silt loam,Rural Homestead,202.8,309.3,451.2,0.61,761,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.010914,94.156,78.6,0.43,13.47,Active alluvial deposits,Paddy Cropland,149.6,265.1,493.1,0.59,449,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.081011,90.642126,91.6,17.07,4.72,Gravelly red loam,Rubber Plantation,109.3,186.0,299.0,8.97,5536,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.105654,94.25093,81.4,0.49,13.14,Coarse river sand and silt,Char / River Island Sandbar,154.4,355.3,439.4,0.26,410,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.790047,93.027333,28.8,0.69,13.85,Heavy alluvial clay,Urban Built-up / Commercial,269.0,534.9,533.7,1.46,436,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.525042,94.69944,96.8,0.79,11.92,Silty clay loam,Paddy Cropland,205.4,328.9,522.8,2.08,130,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.341085,91.380569,46.7,0.75,13.27,Alluvial silt loam,Wetland,214.7,368.0,561.0,0.86,99,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.962753,94.291871,83.0,0.49,15.53,Active alluvial deposits,Paddy Cropland,149.7,300.6,463.6,1.26,317,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.155409,90.087485,36.4,0.59,14.53,Hydromorphic alluvial silt,Riparian Wetland,159.7,281.6,413.7,0.35,390,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.904031,91.413707,125.0,8.77,4.62,Bhabar gravelly loam,Foothill Plantation,126.4,259.5,340.7,6.38,9005,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.125532,91.878442,257.3,15.06,6.0,Red gravelly loam,Rocky Outcrop / Hill Scrub,63.8,213.7,260.1,13.92,10994,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.665667,94.449038,119.6,4.05,7.07,Deep red acidic loam,Elevated Homestead,82.7,204.9,187.5,9.17,12386,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.205671,92.255426,52.3,0.67,12.89,Organic silty clay,Wetland / Marshland,153.6,358.0,578.3,1.72,373,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.157371,93.20894,450.0,12.32,3.59,Red and yellow forest soil,Hilly Terrain,95.8,116.3,294.6,10.61,26049,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.210982,93.429307,228.9,15.35,5.95,Lateritic gravelly clay,Mixed Deciduous Forest,78.2,131.0,143.9,9.45,15739,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.293866,93.640857,264.9,20.47,6.88,Skeletal rocky soil,Rubber / Coffee Plantation,61.9,106.0,255.8,25.04,5872,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.946886,94.366972,78.2,0.19,14.49,Coarse river sand and silt,Riparian Grassland,174.3,285.7,459.5,1.07,449,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.685363,92.814604,102.0,6.15,6.41,Sandy loam,High Alluvial Orchard,65.0,146.8,292.3,7.08,5892,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.758309,92.765952,100.6,5.06,5.84,Piedmont coarse alluvium,High Alluvial Orchard,107.0,156.3,256.1,11.84,5197,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.081911,91.871109,123.6,19.45,6.09,Red gravelly loam,Rocky Outcrop / Hill Scrub,77.4,178.6,288.9,7.35,5253,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.610159,94.694181,107.9,0.69,14.33,Alluvial sandy silt,Wetland / Beel,172.7,331.7,427.8,0.52,296,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.340116,95.562348,216.2,9.14,6.0,Sandy clay red loam,Tea Estate,72.0,189.4,227.3,16.56,13347,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.354245,91.433803,47.8,0.67,13.04,Clayey loam,Rural Settlement,220.6,377.1,454.0,1.17,328,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.082663,94.083376,84.2,0.52,16.24,Coarse river sand and silt,Riparian Grassland,166.8,278.5,403.5,1.07,292,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.135109,90.501702,193.3,14.17,6.69,Laterite outcrop,High Settlement,64.0,151.6,211.9,13.86,12270,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.604203,94.76534,98.1,0.61,14.49,Recent riverine alluvium,Paddy Cropland,216.9,372.6,550.9,1.61,311,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.753119,93.003955,31.2,0.68,12.85,Heavy alluvial clay,Paddy Cropland,273.8,508.2,724.7,1.05,215,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.377946,93.716627,470.2,16.97,6.89,Red loamy soil,Dense Tropical Forest,67.7,124.3,257.3,20.77,6777,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.092615,94.096312,83.6,0.91,11.45,Alluvial fine sand,Alluvial Lowland,177.0,364.5,522.8,1.74,680,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.201286,89.870106,38.6,0.51,14.25,Fine riverine sand,Char Settlement,184.5,310.6,438.5,1.21,73,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.606485,93.306185,72.4,0.89,14.87,Alluvial silt loam,Wetland,158.6,328.9,468.9,0.36,448,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.472874,95.795612,166.1,5.28,5.3,Laterite,Evergreen Forest Scarp,106.0,196.4,311.0,17.6,9722,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.328123,95.843049,150.6,6.64,7.41,Laterite,Highland Industrial / Township,80.3,148.0,333.2,20.56,15546,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.257828,90.984575,49.4,0.59,14.52,Clayey hydromorphic loam,Permanent Wetland,241.0,375.8,521.6,1.68,99,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.164712,91.719302,229.3,14.16,6.91,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,63.3,167.1,245.1,7.6,4700,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.593032,94.707655,90.5,0.68,14.92,Silty clay loam,Riparian Grassland,185.5,342.8,551.7,0.81,176,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.987929,93.605632,211.6,15.54,4.89,Lateritic gravelly clay,Rubber / Coffee Plantation,48.1,128.3,189.4,8.03,12922,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.356449,91.040395,49.3,0.46,11.93,Fine alluvial silt,Paddy Cropland,200.5,359.9,518.5,1.29,44,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.195541,93.514597,418.8,18.88,6.22,Red loamy soil,Dense Tropical Forest,92.5,138.8,230.9,27.06,14956,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.659684,95.186452,90.4,0.42,12.68,Silty clay loam,Low-lying Rural Settlement,189.0,383.5,495.8,1.86,378,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.657003,92.501496,105.3,5.93,5.24,Sandy loam,High Alluvial Orchard,79.7,158.5,278.8,10.64,11826,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.328386,90.903538,49.1,0.67,14.74,Fine alluvial silt,Dense Rural Settlement,168.3,374.8,492.9,1.17,353,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.426861,90.918345,47.0,0.3,13.71,Fine alluvial silt,Paddy Cropland,165.7,379.3,486.8,0.3,442,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.811864,91.715081,153.9,8.04,7.39,Bhabar gravelly loam,Foothill Plantation,93.6,153.6,307.7,17.4,10088,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.174933,90.682373,155.5,6.61,4.76,Gravelly red loam,High Settlement,111.2,163.2,302.6,5.29,5874,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.462602,90.830341,44.5,0.78,16.05,Clayey hydromorphic loam,Permanent Wetland,226.5,388.9,527.7,1.46,226,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.412365,91.019191,42.5,0.38,12.69,Fine alluvial silt,Permanent Wetland,166.3,488.6,561.5,0.84,298,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.03638,89.928928,34.3,0.59,14.7,Fine riverine sand,Riparian Wetland,148.5,273.4,401.9,1.45,123,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.539939,94.827118,103.0,0.81,13.64,Recent riverine alluvium,Paddy Cropland,208.1,313.6,446.1,1.8,254,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.945893,94.373409,85.6,0.14,15.06,Active alluvial deposits,Paddy Cropland,135.0,332.9,481.6,0.15,58,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.246002,93.557004,203.3,7.04,7.2,Skeletal rocky soil,Rubber / Coffee Plantation,59.4,163.2,239.3,13.88,7720,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.152215,93.261021,263.2,15.26,4.81,Red loamy soil,Mixed Deciduous Forest,72.3,157.1,155.3,26.54,21965,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.868579,93.214748,324.3,9.04,5.07,Skeletal rocky soil,Mixed Deciduous Forest,56.6,131.7,196.9,6.48,7488,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.743701,94.558992,88.2,0.56,12.75,Recent riverine alluvium,Riparian Grassland,160.2,402.0,429.4,0.33,345,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.821666,94.335312,112.2,3.5,6.41,Deep red acidic loam,Elevated Homestead,56.1,183.4,275.5,9.85,7674,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.06591,94.168952,89.4,0.73,15.11,Alluvial fine sand,Alluvial Lowland,135.9,392.9,538.1,0.96,772,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.667538,95.033126,95.7,0.66,11.19,Silty clay loam,Paddy Cropland,202.3,318.4,546.7,1.59,328,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.65051,92.475925,86.2,5.39,6.72,Sandy loam,Tea Plantation,123.2,185.0,205.6,10.64,6643,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.095531,92.945516,357.5,25.08,3.54,Red and yellow forest soil,Hilly Terrain,59.0,191.5,254.5,17.96,7615,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.084531,91.767292,276.1,15.47,6.59,Ferruginous weathered rock,Reserved Forest Upland,78.9,224.4,191.1,8.6,6747,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.263381,90.426352,35.0,0.49,14.3,Fine riverine sand,Paddy Cropland,175.6,393.2,473.8,1.09,460,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.260056,90.391491,39.5,0.6,15.77,Hydromorphic alluvial silt,Riparian Wetland,196.1,312.0,426.1,1.07,256,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.832253,91.473522,123.6,8.86,7.72,Coarse boulder-sand,Deciduous Forest,128.1,206.1,289.4,7.73,13125,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.591862,95.235485,98.7,1.15,11.04,Recent riverine alluvium,Riparian Grassland,217.0,324.5,428.4,1.07,487,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.273186,91.96766,58.5,0.49,11.91,Riverine silt,Rural Floodplain Settlement,199.9,389.4,506.1,1.9,247,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.805902,92.833096,26.1,0.32,13.49,Hydromorphic depression silt,Dense Settlement,252.7,400.1,550.0,1.38,217,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.156253,90.610608,101.0,15.92,4.8,Laterite outcrop,High Settlement,82.9,177.4,186.9,12.43,9217,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.345197,93.686388,247.3,23.09,7.52,Skeletal rocky soil,Mixed Deciduous Forest,93.6,107.8,224.2,9.71,12421,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.233841,90.131258,40.5,0.27,13.62,Hydromorphic alluvial silt,Paddy Cropland,145.5,274.2,504.7,0.22,198,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.392828,95.709887,162.8,9.72,5.22,Sandy clay red loam,Highland Industrial / Township,65.2,147.4,282.5,10.13,7671,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.657658,93.406066,71.8,0.59,11.59,Marshy organic loam,Wetland,177.7,343.8,483.1,1.22,389,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.793845,94.361965,112.9,4.11,8.76,Old alluvial terrace soil,Agroforestry,88.3,167.8,174.4,15.82,7439,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.13917,92.820086,363.4,24.78,5.73,Gravelly skeletal clay,Hilly Terrain,99.8,195.6,221.6,8.29,8752,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.117212,91.805274,205.8,19.0,7.14,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,67.9,225.8,293.1,5.95,7457,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.812476,92.623374,89.7,3.46,6.06,Sandy loam,Urban Cantonment,105.1,135.4,270.3,6.37,13290,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.934807,92.71166,29.5,0.7,15.9,Heavy alluvial clay,Paddy Cropland,202.1,514.8,595.9,1.08,344,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.720099,91.651824,134.1,5.96,5.18,Coarse boulder-sand,Foothill Plantation,131.8,183.0,341.4,8.61,7303,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.123686,90.546454,140.8,10.67,5.74,Laterite outcrop,High Settlement,86.7,124.2,303.1,8.69,10255,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.301849,94.133161,88.4,0.31,13.84,Riverine silt loam,Paddy Cropland,160.1,329.0,413.6,0.99,313,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.877982,93.720329,424.0,11.16,6.89,Lateritic gravelly clay,Mixed Deciduous Forest,87.1,144.0,259.4,12.23,18220,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.457102,95.732324,150.0,12.54,7.03,Laterite,Highland Industrial / Township,100.7,152.7,225.3,16.23,18553,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.266752,93.65342,389.5,15.36,5.47,Skeletal rocky soil,Hilly Homestead,78.2,158.6,217.0,10.04,13311,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.159459,91.766842,266.5,16.59,5.87,Red gravelly loam,Highland Residential Built-up,102.4,148.3,318.2,13.68,9275,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.366465,93.474566,472.0,11.42,5.5,Lateritic gravelly clay,Hilly Homestead,73.7,158.5,171.7,12.89,22746,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.431278,95.792204,196.2,5.77,7.61,Sandy clay red loam,Highland Industrial / Township,107.8,197.2,251.2,9.93,13628,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.412835,91.975175,52.7,0.52,12.94,Clayey alluvium,Wetland / Marshland,180.5,380.2,444.1,1.15,223,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.948327,93.74007,229.3,7.58,6.93,Skeletal rocky soil,Mixed Deciduous Forest,93.8,178.2,235.9,25.27,24425,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.145072,90.296747,37.6,0.38,16.31,Fine riverine sand,Riparian Wetland,208.6,347.4,467.6,1.79,216,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.796248,92.791166,34.8,0.28,13.0,Hydromorphic depression silt,Depression Wetland (Beel),246.1,488.3,646.0,1.1,145,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.287387,90.809687,45.1,0.65,13.73,Fine alluvial silt,Dense Rural Settlement,172.3,409.5,489.8,0.86,252,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.349235,95.852839,238.9,12.41,7.76,Laterite,Tea Estate,78.4,232.3,308.1,7.41,18538,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.118615,91.806941,270.4,20.22,7.51,Ferruginous weathered rock,Highland Residential Built-up,116.8,170.7,230.7,5.54,4413,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.854595,91.387827,151.0,5.05,6.87,Bhabar gravelly loam,Deciduous Forest,119.6,173.5,290.2,9.5,10364,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.713362,94.192634,113.2,2.18,6.99,Deep red acidic loam,Agroforestry,64.2,112.1,172.1,16.29,12484,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.261396,91.055344,46.4,0.63,14.98,Clayey hydromorphic loam,Char Land,227.6,365.4,602.5,0.98,507,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.792545,91.466487,156.4,3.95,6.69,Coarse boulder-sand,Foothill Plantation,113.8,167.0,332.7,7.11,11289,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.736723,94.735783,106.6,1.02,14.56,Alluvial sandy silt,Low-lying Rural Settlement,203.0,304.1,558.3,1.92,183,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.610915,94.411213,133.5,2.92,8.12,Deep red acidic loam,Elevated Homestead,50.5,147.5,196.9,10.05,16434,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.420927,94.780625,106.5,1.01,11.84,Silty clay loam,Wetland / Beel,155.2,318.3,419.9,1.67,86,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.086066,92.792247,69.3,1.03,11.44,Silty alluvium,Paddy Cropland,212.0,343.7,464.6,0.41,223,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.093222,92.932365,617.3,19.82,3.76,Red and yellow forest soil,Settlement on Ridge,64.2,145.8,198.2,8.93,22201,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.596272,94.183545,111.5,4.42,6.12,Old alluvial terrace soil,Elevated Homestead,98.8,186.2,231.7,10.42,17276,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.227977,92.325093,51.9,0.34,12.2,Clayey alluvium,Rural Floodplain Settlement,161.3,375.8,487.4,1.07,388,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.607755,93.460302,70.2,0.84,12.35,Marshy organic loam,National Park Grassland,162.9,317.5,526.8,0.55,263,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.158749,91.912863,120.8,21.7,6.37,Ferruginous weathered rock,Highland Residential Built-up,85.4,224.5,190.0,7.96,14381,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.1361,90.734709,130.7,10.89,6.44,Gravelly red loam,Rubber Plantation,60.8,155.5,271.9,15.55,9246,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.579148,93.371804,71.8,0.7,15.3,Alluvial silt loam,Wetland,175.5,301.1,445.2,1.86,345,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.215677,92.363219,60.7,0.51,11.06,Clayey alluvium,Rural Floodplain Settlement,213.1,421.7,442.0,1.14,182,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.933289,94.198872,80.8,0.11,12.26,Active alluvial deposits,Paddy Cropland,194.6,305.0,383.7,1.4,382,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.304322,93.486258,342.2,10.24,6.04,Lateritic gravelly clay,Hilly Homestead,41.3,170.1,204.8,11.69,21476,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.826435,92.655802,28.7,0.62,13.39,Hydromorphic depression silt,Dense Settlement,275.9,542.7,611.9,0.21,446,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.333717,90.986667,49.1,0.31,14.69,Sand bar alluvium,Permanent Wetland,242.6,481.2,594.1,1.46,202,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.068326,90.40142,40.9,0.56,13.98,Hydromorphic alluvial silt,Paddy Cropland,144.4,346.1,524.1,1.07,266,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.302622,93.026114,692.4,17.51,3.52,Red and yellow forest soil,Hilly Terrain,104.5,170.5,202.1,16.88,19661,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.95349,93.664388,302.1,8.63,6.07,Lateritic gravelly clay,Hilly Homestead,88.6,110.2,173.4,15.24,13426,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.635159,94.30791,130.0,3.22,5.68,Old alluvial terrace soil,Elevated Homestead,79.0,128.4,198.2,17.1,8383,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.005744,90.293749,36.4,0.45,12.49,Hydromorphic alluvial silt,Paddy Cropland,185.5,284.5,457.5,0.24,164,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.207791,94.319527,86.5,0.75,11.84,Alluvial fine sand,Paddy Cropland,137.9,359.1,471.7,2.45,338,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.897825,92.949636,32.1,0.45,13.14,Hydromorphic depression silt,Dense Settlement,237.5,504.4,703.0,0.17,62,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.554881,94.946781,98.2,0.65,13.21,Recent riverine alluvium,Paddy Cropland,174.9,357.6,547.1,1.57,614,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.201009,91.795088,201.6,17.5,8.13,Red gravelly loam,Rocky Outcrop / Hill Scrub,88.8,181.0,273.7,8.0,6596,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.607741,94.240484,129.8,2.24,8.78,Deep red acidic loam,Commercial Tea Plantation,55.3,182.4,267.5,16.7,11988,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.843692,91.418164,117.4,3.94,7.41,Coarse boulder-sand,Foothill Plantation,94.6,251.9,310.8,16.38,9784,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.332621,90.990003,47.7,0.67,14.75,Sand bar alluvium,Dense Rural Settlement,204.0,416.4,607.1,0.67,67,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.812113,92.55912,93.0,7.4,6.06,Sandy loam,High Alluvial Orchard,91.8,193.7,238.8,11.06,7946,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.357943,92.312969,52.5,0.65,15.09,Clayey alluvium,Wetland / Marshland,162.7,416.9,461.1,0.61,489,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.840533,94.890184,90.5,0.89,14.95,Alluvial sandy silt,Low-lying Rural Settlement,209.8,345.0,446.0,1.28,487,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.882857,92.697991,33.4,0.18,15.35,Heavy alluvial clay,Urban Built-up / Commercial,206.6,469.4,726.0,1.08,416,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.243891,90.286248,41.7,0.55,13.75,Hydromorphic alluvial silt,Char Settlement,189.6,376.8,485.5,1.38,133,1,1
